name,street_address,google_map,restaurant_type,food_review,price_range,latitude,longitude,postal_code
STATE Grill and Bar,"21 West 33rd Street New York, NY  10118",//www.google.com/maps/search/?api=1&query=40.7483460%2C-73.986424,American,4.4,$31 to $50,40.7485323,-73.9863405,10118
The Lambs Club - Bar,"132 W. 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7565060%2C-73.984634,Contemporary American,4.3,$50 and over,40.7565062,-73.9846347,10036
Bocca Di Bacco (Chelsea - 20th St.),"169 9th Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7445350%2C-74.002902,Italian,4.2,$30 and under,-74.0030186,10011,
Amma,"246 E. 51st Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7560000%2C-73.969,Indian,4.7,$31 to $50,40.755562,-73.9687464,10022
Ben and Jack's Steakhouse 44th Street,"219 East 44th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7518930%2C-73.97306,Steakhouse,4.6,$50 and over,40.751837,-73.972356,10017
Jue Lan Club,"49 W 20th Street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7410250%2C-73.993575,Chinese,3.7,$31 to $50,40.7410473,-73.9936086,10011
Empire Steak House- East,"151 East 50th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7561990%2C-73.971202,Steakhouse,4.4,$50 and over,40.7561844,-73.9712258,10022
Bread & Tulips,"365 Park Avenue South New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7421850%2C-73.984704,Italian,4.4,$30 and under,40.7421174,-73.984741,10016
Tudor City Steak House,"45 Tudor City Pl New York, NY  10017-7601",//www.google.com/maps/search/?api=1&query=40.7493960%2C-73.969991,Steak,4.4,$31 to $50,40.7493965,-73.9699911,10017
Triomphe,"49 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7555590%2C-73.981482,French American,4.3,$31 to $50,40.7558763,-73.981963,10036
Blenheim,"283 West 12th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7375360%2C-74.004009,Contemporary American,4.2,$31 to $50,40.7376767,-74.0040071,10014
1 Darbar,"152 E 46th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7540000%2C-73.974,Indian,4.4,$30 and under,40.7535116,-73.9735331,10017
Zio Ristorante,"17 West 19th St. New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7395650%2C-73.992479,Italian,4.5,$31 to $50,40.7396687,-73.9924795,10011
Meet the Meat,"23-92 21st Street Astoria, NY  11105",//www.google.com/maps/search/?api=1&query=40.7771740%2C-73.921291,Steakhouse,4.7,$31 to $50,40.7770481,-73.9214503,11105
The Morgan Dining Room,"225 Madison Avenue New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7492090%2C-73.981526,American,4.2,$30 and under,40.7492094,-73.9815265,10016
Montebello Ristorante Italiano,"120 E. 56th St. New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7604910%2C-73.970195,Italian,4.3,$31 to $50,40.7604828,-73.9706519,10022
2 Darbar Grill,"157 East 55th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7593510%2C-73.968813,Indian,4.6,$30 and under,40.759341,-73.9688386,10022
Gin Parlour - InterContinental New York,"111 East 48th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7557130%2C-73.974396,Contemporary American,3.2,$30 and under,40.7556389,-73.9734987,10017
Michael Jordan's The Steak House N.Y.C.,"23 Vanderbilt Ave New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7531000%2C-73.9779,Steakhouse,3.9,$31 to $50,40.753062,-73.9772273,10017
Beauty & Essex- New York,"146 Essex Street New York, NY  10002",//www.google.com/maps/search/?api=1&query=40.7203670%2C-73.986774,Tapas / Small Plates,4.6,$31 to $50,40.7204209,-73.9868826,10002
Mercer Kitchen,"99 Prince Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7248000%2C-73.9988,American,4.3,$30 and under,40.7249587,-73.9987276,10012
The Dutch,"131 Sullivan Street New York, NY  10000",//www.google.com/maps/search/?api=1&query=40.7265770%2C-74.002204,American,4.5,$31 to $50,40.7265537,-74.0020789,10000
Lafayette,"380 Lafayette Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7275520%2C-73.993418,French,4.4,$31 to $50,40.7276201,-73.9937785,10003
Vandal,"199 Bowery New York, NY  10002",//www.google.com/maps/search/?api=1&query=40.7211380%2C-73.993373,Tapas / Small Plates,4.5,$50 and over,40.7210706,-73.9933815,10002
Gotham Bar and Grill,"12 East 12th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7340000%2C-73.994,Contemporary American,4.7,$50 and over,40.734207,-73.993699,10003
Il Buco Alimentari & Vineria,"53 Great Jones St. New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7264530%2C-73.992549,Italian,4.6,$31 to $50,40.7264417,-73.9925756,10012
Bar Primi,"325 Bowery New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7256460%2C-73.991812,Italian,4.6,$30 and under,40.7257162,-73.9916803,10003
Lure New York,"142 Mercer New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7246000%2C-73.9984,Seafood,4.7,$31 to $50,40.724703,-73.9983278,10012
Nix,"72 University Place New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7332500%2C-73.993674,Vegetarian,4.7,$31 to $50,40.7332572,-73.993611,10003
Lupa,"170 Thompson Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7276450%2C-74.000328,Italian,4.6,$31 to $50,40.7276574,-74.0000589,10012
Claudette,"24 Fifth Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7331340%2C-73.995975,French,4.6,$30 and under,40.7332403,-73.9962714,10011
Empellon Taqueria,"230 West 4th New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7341240%2C-74.003031,Mexican,4.5,$31 to $50,40.734142,-74.0030683,10014
Perry St,"176 Perry Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7346000%2C-74.0093,Contemporary American,4.7,$31 to $50,40.7344295,-74.0096996,10014
Boucherie - West Village,"99 7th Avenue South New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7330470%2C-74.002877,French,4.3,$31 to $50,40.7330828,-74.0028776,10014
Indochine,"430 Lafayette Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7292410%2C-73.992523,Vietnamese,4.6,$50 and over,40.729286,-73.9924838,10003
El Vez New York,"259 Vesey Street New York, NY  10282",//www.google.com/maps/search/?api=1&query=40.7143160%2C-74.01514,Mexican,4.5,$30 and under,40.7147234,-74.0156345,10282
Public Kitchen,"215 Chrystie St New York, NY  10002-1239",//www.google.com/maps/search/?api=1&query=40.7226170%2C-73.99155,"Global, International",4.4,$31 to $50,40.7231104,-73.9920935,10002
Tamarind - Tribeca,"99 Hudson Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7189770%2C-74.008929,Indian,4.7,$31 to $50,40.71914,-74.0090339,10013
The Stanton Social,"99 Stanton Street New York, NY  10002",//www.google.com/maps/search/?api=1&query=40.7212000%2C-73.9878,Tapas / Small Plates,4.5,$31 to $50,40.7211375,-73.9881222,10002
Hearth,"403 East 12 Street New York, NY  10009",//www.google.com/maps/search/?api=1&query=40.7299800%2C-73.983468,American,4.7,$50 and over,40.7300263,-73.9831883,10009
Sarabeth's TriBeCa,"339 Greenwich Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7183450%2C-74.010291,American,4.3,$30 and under,40.7182443,-74.0102585,10013
Leuca,"111 N 12th St Brooklyn, NY  11249",//www.google.com/maps/search/?api=1&query=40.7221200%2C-73.957168,Italian,4.6,$31 to $50,40.722293,-73.9566815,11249
Sant Ambroeus SoHo,"265 Lafayette Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7234180%2C-73.996567,Italian,4.7,$31 to $50,40.7234755,-73.9964322,10012
Il Cantinori,"32 East 10th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7330000%2C-73.994,Italian,4.7,$50 and over,40.7321769,-73.9932049,10003
MR CHOW - TriBeca,"121 Hudson Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7199930%2C-74.008582,Chinese,4.4,$50 and over,40.720145,-74.0087275,10013
Narcissa Restaurant,"25 Cooper Square New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7279310%2C-73.990785,Contemporary American,4.4,$31 to $50,40.7278415,-73.9907391,10003
Il Mulino New York - Downtown,"86 West 3rd Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7298290%2C-73.999091,Italian,4.7,$50 and over,40.7297668,-73.9991407,10012
Sant Ambroeus - West Village,"259 West 4th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7354210%2C-74.003143,Italian,4.7,$31 to $50,40.735375,-74.0031578,10014
Pig and Khao,"68 Clinton Street New York, NY  10002",//www.google.com/maps/search/?api=1&query=40.7192500%2C-73.984737,Southeast Asian,4.7,$31 to $50,40.7192718,-73.9848038,10002
Little Park,"85 West Broadway New York, NY  10007",//www.google.com/maps/search/?api=1&query=40.7151430%2C-74.009182,Contemporary American,4.5,$31 to $50,40.7152136,-74.0091257,10007
Neta,"61 West 8th Street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7334310%2C-73.999077,Japanese,4.6,$50 and over,40.7336404,-73.9989571,10011
Tutto Il Giorno -Tribeca,"114 Franklin Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7188060%2C-74.005974,Italian,4.6,$50 and over,40.718804,-74.0059811,10013
Bobo Restaurant,"181 West 10th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7342970%2C-74.002619,French,4.5,$30 and under,40.7344781,-74.0026183,10014
Rafele,"29 Seventh Ave. South New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7307520%2C-74.004144,Italian,4.6,$31 to $50,40.7308623,-74.0041448,10014
Essex,"119 Rivington St New York, NY  10002",//www.google.com/maps/search/?api=1&query=40.7197070%2C-73.987415,Fusion / Eclectic,4.2,$30 and under,40.7197072,-73.987415,10002
Tiny's & the Bar Upstairs,"135 West Broadway New York, NY  10002",//www.google.com/maps/search/?api=1&query=40.7167470%2C-74.008037,Contemporary American,4.5,$31 to $50,40.7167037,-74.0079895,10002
BAAR BAAR,"13 E 1st St New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7243890%2C-73.991552,Contemporary Indian,4.5,$31 to $50,40.724433,-73.991532,10003
The Musket Room,"265 Elizabeth St. CI New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7238560%2C-73.993735,International,4.7,$31 to $50,40.7239263,-73.9938218,10012
Delmonico's,"56 Beaver Street New York, NY  10004",//www.google.com/maps/search/?api=1&query=40.7050000%2C-74.01,Steakhouse,4.7,$50 and over,40.7049925,-74.0105948,10004
Root & Bone,"200 E 3rd Street New York, NY  10009",//www.google.com/maps/search/?api=1&query=40.7227440%2C-73.983243,Southern,4.5,$31 to $50,40.7226894,-73.9833023,10009
B?tard,"239 West Broadway New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7196440%2C-74.005962,Modern European,4.7,$50 and over,40.7194666,-74.0057516,10013
Left Bank NYC,"117 Perry Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7351270%2C-74.00673,American,4.4,$31 to $50,40.7351876,-74.0067386,10014
American Cut Steakhouse,"363 Greenwich Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7193040%2C-74.010204,Steakhouse,4.6,$31 to $50,40.7190959,-74.009992,10013
Khe-Yo,"157 Duane St. New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7169060%2C-74.008586,Laotian,4.6,$31 to $50,40.716906,-74.008587,10013
Toloache Thompson St.,"205 Thompson St. New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7285320%2C-73.99961,Mexican,4.4,$31 to $50,40.7287442,-73.9995539,10012
Nobu Downtown | Bar & Lounge,"195 Broadway New York, NY  10007",//www.google.com/maps/search/?api=1&query=40.7109650%2C-74.009676,Japanese,4.7,$50 and over,40.7111,-74.0093,10007
Feast,"102 3rd Ave. New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7325550%2C-73.98797,Contemporary American,4.6,$31 to $50,40.7325298,-73.9880648,10003
Temple Court,"5 Beekman Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7111940%2C-74.006901,American,4.5,$31 to $50,40.7112749,-74.0068449,10003
Pera Soho,"54 Thompson Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7239430%2C-74.00341,Mediterranean,4.2,$31 to $50,40.7237816,-74.0032266,10012
Tribeca Grill,"375 Greenwich St New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7200000%2C-74.01,American,4.2,$31 to $50,40.7196303,-74.0097684,10013
Fifty,"50 Commerce St New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7313430%2C-74.005704,Contemporary American,4.6,$31 to $50,40.7313538,-74.0057057,10014
Dos Caminos - SoHo,"475 West Broadway at Houston Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7265680%2C-73.999865,Mexican,4,$31 to $50,40.7265737,-73.9999034,10012
Noreetuh,"128 1st Avenue New York, NY  10009",//www.google.com/maps/search/?api=1&query=40.7272640%2C-73.985197,American,4.7,$31 to $50,40.7272851,-73.9852368,10009
El Toro Blanco,"257 Sixth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7289690%2C-74.002547,Mexican,4,$31 to $50,40.7290259,-74.002807,10014
SAN CARLO  Osteria Piemonte,"90 Thompson St New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7251350%2C-74.002087,Italian,4.6,$31 to $50,40.725135,-74.002087,10012
The Library at the Public,"425 Lafayette Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7291360%2C-73.992028,American,4,$30 and under,40.7290178,-73.9917494,10003
CUT By Wolfgang Puck at FS Downtown New York,"99 Church St New York, NY  10007",//www.google.com/maps/search/?api=1&query=40.7128030%2C-74.009064,Steak,4.5,$31 to $50,40.7128554,-74.0093466,10007
Osteria della Pace - Eataly NYC Downtown,"101 Liberty St Floor 3 New York, NY  10006",//www.google.com/maps/search/?api=1&query=40.7097160%2C-74.011713,Italian,4.3,$31 to $50,40.7100647,-74.0119758,10006
Tuome,"536 E. 5th St. New York, NY  10009",//www.google.com/maps/search/?api=1&query=40.7239980%2C-73.982948,Contemporary American,4.7,$31 to $50,40.723998,-73.982949,10009
Barano,"26 Broadway Brooklyn, NY  11249",//www.google.com/maps/search/?api=1&query=40.7103280%2C-73.96784,Italian,4.7,$30 and under,40.7103553,-73.9678051,11249
Buttermilk Channel,"524 Court Street Brooklyn, NY  11231",//www.google.com/maps/search/?api=1&query=40.6759850%2C-73.999214,American,4.7,$31 to $50,40.6759857,-73.9992141,11231
La Loteria,"29 7th Ave South New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7307520%2C-74.004144,Contemporary Mexican,4.5,$31 to $50,40.7308623,-74.0041448,10014
Il Mulino Prime,"331 West Broadway New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7221840%2C-74.003747,Italian,4.4,$50 and over,40.7221926,-74.0037316,10013
Socarrat Paella Bar - Nolita,"284 Mulberry St. New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7245410%2C-73.995099,Spanish,4.4,$31 to $50,40.7244569,-73.994917,10012
La Sirene,"558  Broome Street (closer to Varick) New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7245070%2C-74.005684,French,4.6,$31 to $50,40.724543,-74.005667,10013
Fonda - East Village,"40 Avenue B New York, NY  10009",//www.google.com/maps/search/?api=1&query=40.7228620%2C-73.982978,Contemporary Mexican,4.4,$31 to $50,40.7228922,-73.9830718,10009
Kingsley,"190 Avenue B New York, NY  10009",//www.google.com/maps/search/?api=1&query=40.7280360%2C-73.979336,Contemporary American,4.4,$31 to $50,40.7279952,-73.9793069,10009
Porsena,"21 East 7th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7286500%2C-73.989432,Italian,4.6,$30 and under,40.7286874,-73.9895021,10003
The Palm Tribeca,"206 West Street New York, NY  10282",//www.google.com/maps/search/?api=1&query=40.7165260%2C-74.012682,Steakhouse,4.5,$50 and over,40.7165789,-74.0126991,10282
Nickel & Diner,"1 Howard St New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7189010%2C-73.99933,American,4.5,$31 to $50,40.718902,-73.999442,10013
David Burke Kitchen,"23 Grand Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7227830%2C-74.004912,American,4.3,$31 to $50,40.7228421,-74.0048693,10013
Il Cortile Restaurant,"125 Mulberry Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7180010%2C-73.997905,Italian,4.5,$31 to $50,40.7179745,-73.9982225,10013
Felice 15 Gold Street,"15 Gold Street New York, NY  10038",//www.google.com/maps/search/?api=1&query=40.7078900%2C-74.00709,Italian,4.5,$31 to $50,40.7078815,-74.0071288,10038
Cipriani - Wall Street,"55 Wall Street New York, NY  10015",//www.google.com/maps/search/?api=1&query=40.7059380%2C-74.009159,Italian,4.5,$31 to $50,40.7060799,-74.0093198,10015
Rosa Mexicano - TriBeCa,"41 Murray Street New York, NY  10007",//www.google.com/maps/search/?api=1&query=40.7141830%2C-74.008996,Mexican,4,$31 to $50,40.7141031,-74.0090569,10007
North Square,"103 Waverly Place New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7324390%2C-73.998766,American,4.5,$31 to $50,40.7324496,-73.9987276,10011
Edi and The Wolf,"102 Avenue C New York, NY  10009",//www.google.com/maps/search/?api=1&query=40.7238410%2C-73.978698,Austrian,4.3,$30 and under,40.7238208,-73.9788238,10009
Gran Morsi,"22 Warren Street New York, NY  10007",//www.google.com/maps/search/?api=1&query=40.7143530%2C-74.007741,Italian,4.5,$31 to $50,40.7143072,-74.0077715,10007
Bistrot Leo,"60 Thompson Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7240060%2C-74.00307,French,4.2,$31 to $50,40.7239616,-74.0031348,10012
Reserve Cut at Setai,"40 Broad Street, 2nd Level New York, NY  10004",//www.google.com/maps/search/?api=1&query=40.7059080%2C-74.011807,Kosher,4.6,$50 and over,40.7060275,-74.0117654,10004
Rice & Gold,"50 Bowery New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7159360%2C-73.996789,Asian,4.2,$31 to $50,40.7158073,-73.9965567,10013
Thalassa,"179 Franklin Street New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7193000%2C-74.0092,Seafood,4.6,$31 to $50,40.7191955,-74.0095619,10013
Strip House Speakeasy,"11 East 12th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7344850%2C-73.993432,Steakhouse,4.7,$50 and over,40.7344807,-73.9934479,10003
Greenwich Steakhouse,"62 Greenwich Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7360770%2C-74.00057,Steakhouse,4.3,$50 and over,40.7360835,-74.0005983,10011
Schilling,"109 Washington Street New york, NY  10028",//www.google.com/maps/search/?api=1&query=40.7085740%2C-74.013989,Austrian,4.5,$30 and under,40.7085801,-74.0139689,10028
Morton's The Steakhouse - World Trade Center,"136 Washington New York, NY  10006",//www.google.com/maps/search/?api=1&query=40.7095790%2C-74.013907,Steakhouse,4.7,$50 and over,40.7097089,-74.0139508,10006
MarkJoseph Steakhouse,"261 Water Street New York, NY  10038",//www.google.com/maps/search/?api=1&query=40.7084090%2C-74.001578,Steakhouse,4.7,$50 and over,40.7083559,-74.0014821,10038
The Tuck Room- New York,"11 Fulton Street New York, NY  10038",//www.google.com/maps/search/?api=1&query=40.7067820%2C-74.003289,Gastro Pub,4,$30 and under,-74.0031157,10038,
Talde,"369 7th Avenue Brooklyn, NY  11215",//www.google.com/maps/search/?api=1&query=40.6654470%2C-73.982542,Asian,4.4,$30 and under,40.6654492,-73.9825668,11215
Bar Freud,"506 LaGuardia Place New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7277230%2C-73.999535,Austrian,4.4,$31 to $50,40.7277403,-73.9995539,10012
Yellow Magnolia Caf?,"Brooklyn Botanic Garden 990 Washington Ave Brooklyn, NY  11225",//www.google.com/maps/search/?api=1&query=40.6694370%2C-73.962844,American,4.4,$30 and under,40.6694113,-73.9623736,11225
Benchmark Restaurant,"339A Second St. Brooklyn, NY  11215",//www.google.com/maps/search/?api=1&query=40.6736470%2C-73.983262,Contemporary American,4.5,$31 to $50,40.6737664,-73.9831636,11215
Altesi Downtown,"200 Spring Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7252000%2C-74.0033,Italian,4.5,$31 to $50,40.7250957,-74.0033108,10012
Harvey @ The Williamsburg Hotel,"96 Wythe Ave Brooklyn, NY  11249",//www.google.com/maps/search/?api=1&query=40.7214770%2C-73.958723,Contemporary American,4,$30 and under,40.7216012,-73.958897,11249
ATRIO Wine Bar & Restaurant,"102 North End Avenue New York, NY  10282",//www.google.com/maps/search/?api=1&query=40.7147890%2C-74.016179,Contemporary American,4.6,$31 to $50,40.7150553,-74.015696,10282
Bobby Van's Steakhouse - Broad Street,"25 Broad Street New York, NY  10004",//www.google.com/maps/search/?api=1&query=40.7062700%2C-74.011272,Steakhouse,4.4,$31 to $50,40.70601,-74.0108846,10004
Brasserie Seoul,"300 Schermerhorn St. Brooklyn, NY  11217",//www.google.com/maps/search/?api=1&query=40.6873870%2C-73.982519,Contemporary French,4.1,$30 and under,40.6873592,-73.9824046,11217
Greenhouse Cafe,"7717 3rd Avenue Brooklyn, NY  11209-3001",//www.google.com/maps/search/?api=1&query=40.6295190%2C-74.028273,Continental,4.5,$30 and under,40.6295393,-74.0283024,NA
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI","1100 South Ave. Staten Island, NY  10314",//www.google.com/maps/search/?api=1&query=40.6147900%2C-74.176557,Italian,4.6,$31 to $50,40.6145769,-74.1772081,10314
