name,street_address,restaurant_type,food_review,price_range,latitude,longitude,postal_code,boro,
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",Contemporary American,3.9,$31 to $50,40.8011258,-73.9681923,10025,Manhattan,
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",American,4.4,$31 to $50,40.7721869,-73.9777215,10023,Manhattan,
ABC Kitchen,"35 East 18th Street New York, NY  10003",Contemporary American,4.6,$31 to $50,40.7378971,-73.9894995,10003,Manhattan,
Catch New York,"21 Ninth Avenue New York, NY  10014",Seafood,4.6,$31 to $50,40.7402272,-74.0063403,10014,Manhattan,
Becco,"355 West 46th Street New York, NY  10010",Italian,4.4,$30 and under,40.760804,-73.9898324,10010,Manhattan,
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",Seafood,4.8,$50 and over,40.763598,-73.9789514,10019,Manhattan,
Tao Uptown,"42 East 58th Street New York, NY  10022",Asian,4.5,$31 to $50,40.7626068,-73.9714784,10022,Manhattan,
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",Southern,4.4,$31 to $50,40.8080566,-73.9449139,10027,Manhattan,
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",Steakhouse,4.6,$50 and over,40.7594248,-73.9822224,10020,Manhattan,
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",Mediterranean,4.5,$31 to $50,40.7592803,-73.9756337,10021,Manhattan,
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",Mexican,4.3,$31 to $50,40.771079,-73.9827734,10023,Manhattan,
ABC Cocina,"38 East 19th Street New York, NY  10003",Tapas / Small Plates,4.6,$30 and under,40.7379803,-73.98927,10003,Manhattan,
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",Steakhouse,4.7,$50 and over,40.7628238,-73.9838753,10019,Manhattan,
Boulud Sud,"20 West 64th Street New York, NY  10023",Mediterranean,4.6,$50 and over,40.7715807,-73.9811807,10023,Manhattan,
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",French,4.6,$31 to $50,40.7690255,-73.9816255,10023,Manhattan,
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",American,4.3,$30 and under,40.7651362,-73.9757026,10019,Manhattan,
Tao Downtown,"92 Ninth Ave New York, NY  10011",Pan-Asian,4.5,$50 and over,40.7425376,-74.0038464,10011,Manhattan,
ilili,"236 Fifth Avenue New York, NY  10001",Lebanese,4.7,$31 to $50,40.7444086,-73.9879156,10001,Manhattan,
Scarpetta,"88 Madison Ave New York, NY  10016",Italian,4.6,$31 to $50,40.7444337,-73.9857807,10016,Manhattan,
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",Seafood,4.3,$31 to $50,40.7721822,-73.9813041,10023,Manhattan,
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",Contemporary Mexican,4.5,$31 to $50,40.7597188,-73.9748665,10022,Manhattan,
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",Seafood,4.7,$31 to $50,40.7618473,-73.9805453,10019,Manhattan,
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",American,4.4,$30 and under,40.7838797,-73.9774244,10024,Manhattan,
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",Steakhouse,4.5,$31 to $50,40.7547172,-73.9827745,10036,Manhattan,
Toloache-Midtown,"251 West 50th Street New York, NY  10012",Mexican,4.5,$30 and under,40.7623091,-73.9855741,10012,Manhattan,
Blue Fin - New York,"1567 Broadway at 47th Street W Hotel Times Square New York, NY  10036",Seafood,4.4,$31 to $50,40.7593562,-73.98569,10036,Manhattan,
Bar Boulud,"1900 Broadway New York, NY  10023",French,4.4,$30 and under,40.771542,-73.9814645,10023,Manhattan,
Hakkasan - New York,"311 West 43rd Street New York, NY  10036",Chinese,4.6,$50 and over,40.7584487,-73.9900275,10036,Manhattan,
Lincoln Ristorante,"142 West 65th St. New York, NY  10023",Italian,4.6,$31 to $50,40.7733125,-73.9837555,10023,Manhattan,
Caf? Boulud,"20 East 76th St. New York, NY  10021",French,4.5,$50 and over,40.7744937,-73.9640958,10021,Manhattan,
The View Restaurant,"1535 Broadway New York, NY  10036",Contemporary American,4.2,$31 to $50,40.7587183,-73.9862168,10036,Manhattan,
Park Avenue Spring,"360 Park Avenue South New York, NY  10010",American,4.6,$31 to $50,40.7421397,-73.9855281,10010,Manhattan,
Zuma Japanese Restaurant - NY,"261 Madison Avenue New York, NY  10016",Japanese,4.6,$50 and over,40.7504971,-73.9806384,10016,Manhattan,
La Pecora Bianca - NoMad,"1133 Broadway New York, NY  10010",Italian,4.5,$30 and under,40.7437839,-73.9893618,10010,Manhattan,
La Pecora Bianca - Midtown,"950 2nd Avenue New York, NY  10022",Italian,4.4,$30 and under,40.7550058,-73.9680538,10022,Manhattan,
Calle Ocho,"45 West 81st Street inside the Excelsior Hotel New York, NY  10024",Latin American,4.3,$31 to $50,40.7830052,-73.9736309,10024,Manhattan,
Sarabeth's Park Avenue South,"381 Park Ave South New York, NY  10013",American,4.4,$30 and under,40.7423754,-73.9841967,10013,Manhattan,
Lavo - NYC,"39 East 58th Street New York, NY  10022",Italian,4.6,$50 and over,40.7629003,-73.9714637,10022,Manhattan,
La Masseria,"235 West 48th Street New York, NY  10036",Italian,4.7,$31 to $50,40.7608251,-73.9862213,10036,Manhattan,
Lido,"2168 Frederick Douglass Blvd. New York, NY  10026",Italian,4.5,$30 and under,40.8048926,-73.9546798,10026,Manhattan,
Ristorante Morini,"1167 Madison Avenue New York, NY  10020",Italian,4.6,$31 to $50,40.7805467,-73.9588577,10020,Manhattan,
Morimoto New York,"88 10th Avenue New York, NY  10011",Japanese,4.6,$50 and over,40.7430827,-74.0072503,10011,Manhattan,
Aureole,"135 West 42nd Street New York, NY  10036",American,4.4,$31 to $50,40.7555892,-73.9852848,10036,Manhattan,
Fogo de Chao Brazilian Steakhouse - New York,"40 W 53rd Street New York, NY  10019",Brazilian Steakhouse,4.6,$50 and over,40.7610935,-73.9777823,10019,Manhattan,
Limani - NYC,"45 Rockefeller Plaza New York, NY  10011",Mediterranean,4.6,$50 and over,40.7591829,-73.9778279,10011,Manhattan,
Ai Fiori,"400 5th Avenue New York, NY  10018",Contemporary European,4.6,$31 to $50,40.7500752,-73.9837835,10018,Manhattan,
Philippe,"33 East 60th Street New York, NY  10065",Chinese,4.6,$31 to $50,40.764135,-73.9702846,10065,Manhattan,
'Cesca,"164 W. 75th St. New York, NY  10024",Italian,4.1,$31 to $50,40.7802763,-73.9798894,10024,Manhattan,
Butter Midtown,"70 West 45th New York, NY  10036",Contemporary American,4.2,$31 to $50,40.7563375,-73.9822224,10036,Manhattan,
Smith & Wollensky - New York,"797 Third Avenue New York, NY  10022",Steakhouse,4.5,$50 and over,40.7551704,-73.9707437,10022,Manhattan,
Orsay,"1057-59 Lexington Avenue New York, NY  10021",French,4.3,$31 to $50,40.7723839,-73.9604582,10021,Manhattan,
Nice Matin,"201 West 79th Street New York, NY  10024",French,4.3,$31 to $50,40.7834267,-73.9784952,10024,Manhattan,
db Bistro moderne,"55 West 44th Street New York, NY  10036",French,4.4,$31 to $50,40.7559546,-73.9821076,10036,Manhattan,
The Capital Grille - NY ??Time Life Building,"120 West 51st Street, Time Life Bldg. New York, NY  10020",Steakhouse,4.6,$50 and over,40.7606647,-73.9814419,10020,Manhattan,
FIG & OLIVE Meatpacking,"420 West 13th Street New York, NY  10014",Mediterranean,4.5,$31 to $50,40.7406128,-74.0069163,10014,Manhattan,
Barbounia,"250 Park Ave South New York, NY  10003",Mediterranean,4.5,$30 and under,40.7382552,-73.988214,10003,Manhattan,
Kellari Taverna,"19 West 44th Street New York, NY  10036",Greek,4.4,$31 to $50,40.7555245,-73.980845,10036,Manhattan,
Craft,"43 E. 19th St. New York, NY  10003",American,4.7,$50 and over,40.7381819,-73.9886502,10003,Manhattan,
Almond,"12 East 22nd Street New York, NY  10010",Farm-to-table,4.4,$31 to $50,40.740048,-73.988742,10010,Manhattan,
Dos Caminos - Times Square,"1567 Broadway W Hotel Times Square New York, NY  10036",Mexican,4.2,$31 to $50,40.7593562,-73.98569,10036,Manhattan,
Momofuku Nishi,"232 8th Ave New York, NY  10011",Contemporary American,4.5,$31 to $50,40.7443534,-73.9988194,10011,Manhattan,
Felidia,"243 E. 58th New York, NY  10022",Italian,4.7,$31 to $50,40.7603605,-73.9651074,10022,Manhattan,
Rosa Mexicano - Union Square,"9 E. 18th St. New York, NY  10003",Mexican,4.4,$31 to $50,40.7383272,-73.9907621,10003,Manhattan,
Taboon,"773 10th Avenue New York, NY  10019",Middle Eastern,4.7,$50 and over,40.7662319,-73.9910064,10019,Manhattan,
Bocca Di Bacco (Theatre District - 45th St.),"635 9th Avenue New York, NY  10036",Italian,4.5,$30 and under,40.7602369,-73.9916534,10036,Manhattan,
Rotisserie Georgette,"14 East 60th Street New York, NY  10022",French American,4.6,$30 and under,40.7643208,-73.9717311,10022,Manhattan,
The National Bar & Dining Rooms,"557 Lexington Ave New York, NY  10022",Contemporary American,4.2,$30 and under,40.756593,-73.971947,10022,Manhattan,
The Wayfarer,"101 West 57th St. New York, NY  10019",American,4.3,$31 to $50,40.7646408,-73.9772407,10019,Manhattan,
The Dining Room at The Metropolitan Museum of Art,"1000 5th Avenue in the Metropolitan Museum of Art New York, NY  10028",Contemporary American,4.4,$50 and over,40.7794366,-73.963244,10028,Manhattan,
Il Mulino New York - Uptown,"37 East 60th New York, NY  10021",Italian,4.7,$50 and over,40.764144,-73.970195,10021,Manhattan,
Molyvos,"871 7th Avenue New York, NY  10019",Greek,4.4,$31 to $50,40.7644845,-73.9805464,10019,Manhattan,
Danji,"346 West 52nd Street New York, NY  10019",Korean,4.7,$31 to $50,40.7640352,-73.9868366,10019,Manhattan,
Tommy Bahama - New York,"551 Fifth Avenue New York, NY  10176",American,4.5,$30 and under,40.7553825,-73.9788937,10176,Manhattan,
Marseille,"630 Ninth Avenue New York, NY  10036",French,4.3,$31 to $50,40.759987,-73.9912338,10036,Manhattan,
Sarabeth's East,"1295 Madison Avenue New York, NY  10128",American,4.2,$30 and under,40.7847977,-73.9556597,10128,Manhattan,
The Capital Grille - NY ??Chrysler Center,"155 E 42nd Street Located in the Trylon Towers of The Chrysler Center New York, NY  10017",Steakhouse,4.7,$50 and over,40.7511656,-73.9748837,10017,Manhattan,
Hunt & Fish Club NYC,"125 West 44th Street New York, NY  10036",Steakhouse,4.6,$50 and over,40.7568129,-73.984243,10036,Manhattan,
Ammos Estiatorio,"52 Vanderbilt Avenue New York, NY  10017",Seafood,4.5,$31 to $50,40.7543343,-73.9773555,10017,Manhattan,
T-BAR Steak & Lounge (Upper East Side),"1278 3rd Avenue New York, NY  10028",Steakhouse,4.5,$31 to $50,40.7707731,-73.9600923,10028,Manhattan,
Bocca di Bacco (Hell's Kitchen - 54th St.),"828 9th Avenue New York, NY  10019",Italian,4.6,$30 and under,40.7661302,-73.9867853,10019,Manhattan,
The Clocktower,"5 Madison Ave. New York, NY  10010",English,4.4,$50 and over,40.7412504,-73.9875224,10010,Manhattan,
Masseria dei Vini,"887-889 9th Ave. New York, NY  10019",Italian,4.6,$31 to $50,40.7684477,-73.9857048,10019,Manhattan,
Lexington Brass,"517 Lexington Avenue New York, NY  10017",American,4.4,$31 to $50,40.7553,-73.9728788,10017,Manhattan,
Serra by Birreria,"200 Fifth Avenue New York, NY  10010",Italian,4.0,$30 and under,40.7419931,-73.9899357,10010,Manhattan,
GAONNURI,"1250 BROADWAY 39th Floor New York, NY  10001",Korean,4.4,$31 to $50,40.7476831,-73.9878697,10001,Manhattan,
Obao,"647 9th Avenue New York, NY  10036",Thai,4.3,$31 to $50,40.7606544,-73.991332,10036,Manhattan,
Remi,"145 West 53rd Street New York, NY  10019",Italian,4.5,$31 to $50,40.7622408,-73.9798689,10019,Manhattan,
Glass House Tavern,"252 West 47th Street New York, NY  10036",Contemporary American,4.3,$31 to $50,40.759833,-73.986698,10036,Manhattan,
Dos Caminos - Third Avenue,"825 Third Avenue at 50th Street New York, NY  10022",Mexican,4.1,$31 to $50,40.7558722,-73.9701462,10022,Manhattan,
Stella 34 Trattoria,"Macy?? at Herald Square 151 West 34th Street New York, NY  10001",Italian,4.4,$30 and under,40.7507815,-73.9889593,10001,Manhattan,
MR CHOW - 57th,"324 East 57th Street New York, NY  10022",Chinese,4.6,$50 and over,40.7587261,-73.9644708,10022,Manhattan,
Casa Lever,"390 Park Avenue New York, NY  10022",Italian,4.6,$50 and over,40.7597285,-73.9729477,10022,Manhattan,
Jams - NYC,"1414 6th Avenue New York, NY  10019",American,4.2,$30 and under,40.7647578,-73.9765408,10019,Manhattan,
Ousia,"629 W 57th St New York, NY  10019",Mediterranean,4.4,$31 to $50,40.7709893,-73.9925681,10019,Manhattan,
Rosa Mexicano - First Avenue,"1063 1st Avenue New York, NY  10022",Mexican,4.4,$31 to $50,40.7589658,-73.9627039,10022,Manhattan,
Red Cat,"227 Tenth Avenue New York, NY  10011",American,4.6,$31 to $50,40.7481259,-74.0041907,10011,Manhattan,
Ruth's Chris Steak House - New York City - Midtown,"148 West 51st Street New York, NY  10019",Steakhouse,4.6,$31 to $50,40.7613323,-73.9821595,10019,Manhattan,
Sea Fire Grill,"158 East 48th Street New York, NY  10017",Seafood,4.6,$31 to $50,40.7546919,-73.9722216,10017,Manhattan,
Blue Water Grill,"31 Union Square West at 16th Street New York, NY  10003",Seafood,4.4,$31 to $50,40.7368125,-73.9911064,10003,Manhattan,
Vaucluse,"100 East 63rd Street New York, NY  10065",French,4.5,$31 to $50,40.7650225,-73.9676044,10065,Manhattan,
LEGASEA,"485 Seventh Avenue New York, NY  10018",Seafood,4.3,$50 and over,40.7522809,-73.9893607,10018,Manhattan,
STK - NYC - Meatpacking,"26 Little West 12th St. New York, NY  10014",Steakhouse,4.5,$31 to $50,40.7398399,-74.0071747,10014,Manhattan,
Esca,"402 West 43rd Street New York, NY  10036",Italian,4.3,$30 and under,40.7592097,-73.9927457,10036,Manhattan,
The Leopard at des Artistes,"1 West 67th St. New York, NY  10023",Italian,4.4,$50 and over,40.773502,-73.9789261,10023,Manhattan,
21 Club,"21 West 52nd Street New York, NY  10019",American,4.6,$50 and over,40.760533,-73.977397,10019,Manhattan,
Benoit Restaurant and Wine Bar,"60 West 55th Street New York, NY  10019",French,4.5,$31 to $50,40.7624832,-73.9773402,10019,Manhattan,
DaDong NY,"3 Bryant Park New York, NY  10036",Chinese,4.0,$31 to $50,40.7548449,-73.9845597,10036,Manhattan,
Lincoln Square Steak,"208 West 70th Street New York, NY  10023",Steakhouse,4.4,$50 and over,40.7775086,-73.9833154,10023,Manhattan,
Club A Steakhouse,"240 East 58th Street New York, NY  10022",Steakhouse,4.7,$31 to $50,40.7600512,-73.9655781,10022,Manhattan,
Anassa Taverna,"200 East 60th Street New York, NY  10022",Greek,4.4,$31 to $50,40.7619091,-73.9658824,10022,Manhattan,
Cafe d'Alsace,"1695 2nd Ave (Corner of  88th Street & 2nd Ave) New York, NY  10128",French,4.4,$31 to $50,40.7791721,-73.9510841,10128,Manhattan,
Burke & Wills,"226 West 79th Street New York, NY  10024",Australian,4.5,$31 to $50,40.7833649,-73.9795709,10024,Manhattan,
Boucherie - Park Avenue South,"225 Park Ave South New York, NY  10003-1604",French,4.2,$31 to $50,40.7371329,-73.9879502,10003,Manhattan,
Natsumi Restaurant,"226 West 50th Street New York, NY  10019",Japanese,4.5,$31 to $50,40.7617073,-73.9852527,10019,Manhattan,
Armani Ristorante 5th Avenue,"717 5th Avenue New York, NY  10022",Italian,4.6,$31 to $50,40.7617242,-73.9739578,10022,Manhattan,
Brasserie Ruhlmann,"45 Rockefeller Plaza New York, NY  10011",French American,4.4,$31 to $50,40.7591829,-73.9778279,10011,Manhattan,
Docks Oyster Bar and Seafood Grill,"633 Third Avenue New York, NY  10017",Seafood,4.3,$31 to $50,40.7497356,-73.9747149,10017,Manhattan,
Chez Josephine,"414 West 42nd Street New York, NY  10036",French,4.3,$31 to $50,40.758490,-73.9935856,10036.0,Manhattan,
Brasserie 8 1/2,"9 West 57th St. New York, NY  10019",French,4.4,$31 to $50,40.763765,-73.9750139,10019,Manhattan,
Churrascaria Plataforma Brazilian Steakhouse,"316 West 49th Street New York, NY  10019",Brazilian Steakhouse,4.6,$50 and over,40.7620327,-73.9876634,10019,Manhattan,
Riverpark,"450 East 29th Street New York, NY  10016",American,4.5,$31 to $50,40.7398081,-73.9737283,10016,Manhattan,
Casa Nonna - Midtown,"310 West 38th Street New York, NY  10010",Italian,4.4,$31 to $50,40.7549995,-73.9927853,10010,Manhattan,
Farmer & The Fish - Gramercy,"245 Park Ave S New York, NY  10003",Farm-to-table,4.2,$30 and under,40.7379741,-73.9876775,10003,Manhattan,
The Sea Grill,"Rockefeller Center - 19 W.49th Street or via the concourse thru any Rockefeller Center entrance New York, NY  10020",Seafood,4.6,$31 to $50,40.7584094,-73.9784184,10020,Manhattan,
Bar Italia,"768 Madison Avenue New York, NY  10065",Italian,4.5,$31 to $50,40.7679158,-73.9685168,10065,Manhattan,
Strip House Midtown,"15 West 44th New York, NY  10036",Steak,4.5,$50 and over,40.755344,-73.9806613,10036,Manhattan,
Maiella - LIC,"46-10 Center Blvd. Long Island City, NY  11109",Italian,4.6,$31 to $50,40.7473793,-73.9569939,11109,Queens,
Storico,"New-York Historical Society 170 Central Park West New York, NY  10024",Contemporary Italian,4.2,$31 to $50,40.7792476,-73.9742792,10024,Manhattan,
Naples 45 Ristorante E Pizzeria,"200 Park Avenue New York, NY  10166",Italian,4.2,$30 and under,40.7533488,-73.9766668,10166,Manhattan,
La Sirena - The Dining Room,"88 Ninth Avenue New York, NY  10011",Italian,4.3,$31 to $50,40.7423522,-74.0040829,10011,Manhattan,
Benjamin Steakhouse Prime,"23 E 40th St. New York, NY  10016",American,4.7,$50 and over,40.7514995,-73.9799312,10016,Manhattan,
Tavern 62 by David Burke,"135 E 62nd St New York, NY  10065",American,4.4,$31 to $50,40.7644339,-73.9670934,10065,Manhattan,
