name,street_address,restaurant_type,food_review,price_range,latitude,longitude,postal_code,boro,
Tamarind - Tribeca,"99 Hudson Street New York, NY  10013",Indian,4.7,$31 to $50,40.71914,-74.0090339,10013,Manhattan,
The Stanton Social,"99 Stanton Street New York, NY  10002",Tapas / Small Plates,4.5,$31 to $50,40.7211375,-73.9881222,10002,Manhattan,
Hearth,"403 East 12 Street New York, NY  10009",American,4.7,$50 and over,40.7300263,-73.9831883,10009,Manhattan,
Sarabeth's TriBeCa,"339 Greenwich Street New York, NY  10013",American,4.3,$30 and under,40.7182443,-74.0102585,10013,Manhattan,
Leuca,"111 N 12th St Brooklyn, NY  11249",Italian,4.6,$31 to $50,40.722293,-73.9566815,11249,Brooklyn,
Sant Ambroeus SoHo,"265 Lafayette Street New York, NY  10012",Italian,4.7,$31 to $50,40.7234755,-73.9964322,10012,Manhattan,
Il Cantinori,"32 East 10th Street New York, NY  10003",Italian,4.7,$50 and over,40.7321769,-73.9932049,10003,Manhattan,
MR CHOW - TriBeca,"121 Hudson Street New York, NY  10013",Chinese,4.4,$50 and over,40.720145,-74.0087275,10013,Manhattan,
Narcissa Restaurant,"25 Cooper Square New York, NY  10003",Contemporary American,4.4,$31 to $50,40.7278415,-73.9907391,10003,Manhattan,
Il Mulino New York - Downtown,"86 West 3rd Street New York, NY  10012",Italian,4.7,$50 and over,40.7297668,-73.9991407,10012,Manhattan,
Sant Ambroeus - West Village,"259 West 4th Street New York, NY  10014",Italian,4.7,$31 to $50,40.735375,-74.0031578,10014,Manhattan,
Pig and Khao,"68 Clinton Street New York, NY  10002",Southeast Asian,4.7,$31 to $50,40.7192718,-73.9848038,10002,Manhattan,
Little Park,"85 West Broadway New York, NY  10007",Contemporary American,4.5,$31 to $50,40.7152136,-74.0091257,10007,Manhattan,
Neta,"61 West 8th Street New York, NY  10011",Japanese,4.6,$50 and over,40.7336404,-73.9989571,10011,Manhattan,
Tutto Il Giorno -Tribeca,"114 Franklin Street New York, NY  10013",Italian,4.6,$50 and over,40.718804,-74.0059811,10013,Manhattan,
Bobo Restaurant,"181 West 10th Street New York, NY  10014",French,4.5,$30 and under,40.7344781,-74.0026183,10014,Manhattan,
Rafele,"29 Seventh Ave. South New York, NY  10014",Italian,4.6,$31 to $50,40.7308623,-74.0041448,10014,Manhattan,
Essex,"119 Rivington St New York, NY  10002",Fusion / Eclectic,4.2,$30 and under,40.7197072,-73.987415,10002,Manhattan,
Tiny's & the Bar Upstairs,"135 West Broadway New York, NY  10002",Contemporary American,4.5,$31 to $50,40.7167037,-74.0079895,10002,Manhattan,
BAAR BAAR,"13 E 1st St New York, NY  10003",Contemporary Indian,4.5,$31 to $50,40.724433,-73.991532,10003,Manhattan,
The Musket Room,"265 Elizabeth St. CI New York, NY  10012",International,4.7,$31 to $50,40.7239263,-73.9938218,10012,Manhattan,
Delmonico's,"56 Beaver Street New York, NY  10004",Steakhouse,4.7,$50 and over,40.7049925,-74.0105948,10004,Manhattan,
Root & Bone,"200 E 3rd Street New York, NY  10009",Southern,4.5,$31 to $50,40.7226894,-73.9833023,10009,Manhattan,
B?tard,"239 West Broadway New York, NY  10013",Modern European,4.7,$50 and over,40.7194666,-74.0057516,10013,Manhattan,
Left Bank NYC,"117 Perry Street New York, NY  10014",American,4.4,$31 to $50,40.7351876,-74.0067386,10014,Manhattan,
American Cut Steakhouse,"363 Greenwich Street New York, NY  10013",Steakhouse,4.6,$31 to $50,40.7190959,-74.009992,10013,Manhattan,
Khe-Yo,"157 Duane St. New York, NY  10013",Laotian,4.6,$31 to $50,40.716906,-74.008587,10013,Manhattan,
Toloache Thompson St.,"205 Thompson St. New York, NY  10012",Mexican,4.4,$31 to $50,40.7287442,-73.9995539,10012,Manhattan,
Nobu Downtown | Bar & Lounge,"195 Broadway New York, NY  10007",Japanese,4.7,$50 and over,40.7111,-74.0093,10007,Manhattan,
Feast,"102 3rd Ave. New York, NY  10003",Contemporary American,4.6,$31 to $50,40.7325298,-73.9880648,10003,Manhattan,
Temple Court,"5 Beekman Street New York, NY  10003",American,4.5,$31 to $50,40.7112749,-74.0068449,10003,Manhattan,
Pera Soho,"54 Thompson Street New York, NY  10012",Mediterranean,4.2,$31 to $50,40.7237816,-74.0032266,10012,Manhattan,
Tribeca Grill,"375 Greenwich St New York, NY  10013",American,4.2,$31 to $50,40.7196303,-74.0097684,10013,Manhattan,
Fifty,"50 Commerce St New York, NY  10014",Contemporary American,4.6,$31 to $50,40.7313538,-74.0057057,10014,Manhattan,
Dos Caminos - SoHo,"475 West Broadway at Houston Street New York, NY  10012",Mexican,4.0,$31 to $50,40.7265737,-73.9999034,10012,Manhattan,
Noreetuh,"128 1st Avenue New York, NY  10009",American,4.7,$31 to $50,40.7272851,-73.9852368,10009,Manhattan,
El Toro Blanco,"257 Sixth Avenue New York, NY  10014",Mexican,4.0,$31 to $50,40.7290259,-74.002807,10014,Manhattan,
SAN CARLO  Osteria Piemonte,"90 Thompson St New York, NY  10012",Italian,4.6,$31 to $50,40.725135,-74.002087,10012,Manhattan,
The Library at the Public,"425 Lafayette Street New York, NY  10003",American,4.0,$30 and under,40.7290178,-73.9917494,10003,Manhattan,
CUT By Wolfgang Puck at FS Downtown New York,"99 Church St New York, NY  10007",Steak,4.5,$31 to $50,40.7128554,-74.0093466,10007,Manhattan,
Osteria della Pace - Eataly NYC Downtown,"101 Liberty St Floor 3 New York, NY  10006",Italian,4.3,$31 to $50,40.7100647,-74.0119758,10006,Manhattan,
Tuome,"536 E. 5th St. New York, NY  10009",Contemporary American,4.7,$31 to $50,40.723998,-73.982949,10009,Manhattan,
Barano,"26 Broadway Brooklyn, NY  11249",Italian,4.7,$30 and under,40.7103553,-73.9678051,11249,Brooklyn,
Buttermilk Channel,"524 Court Street Brooklyn, NY  11231",American,4.7,$31 to $50,40.6759857,-73.9992141,11231,Brooklyn,
La Loteria,"29 7th Ave South New York, NY  10014",Contemporary Mexican,4.5,$31 to $50,40.7308623,-74.0041448,10014,Manhattan,
Il Mulino Prime,"331 West Broadway New York, NY  10013",Italian,4.4,$50 and over,40.7221926,-74.0037316,10013,Manhattan,
Socarrat Paella Bar - Nolita,"284 Mulberry St. New York, NY  10012",Spanish,4.4,$31 to $50,40.7244569,-73.994917,10012,Manhattan,
La Sirene,"558  Broome Street (closer to Varick) New York, NY  10013",French,4.6,$31 to $50,40.724543,-74.005667,10013,Manhattan,
Fonda - East Village,"40 Avenue B New York, NY  10009",Contemporary Mexican,4.4,$31 to $50,40.7228922,-73.9830718,10009,Manhattan,
Kingsley,"190 Avenue B New York, NY  10009",Contemporary American,4.4,$31 to $50,40.7279952,-73.9793069,10009,Manhattan,
Porsena,"21 East 7th Street New York, NY  10003",Italian,4.6,$30 and under,40.7286874,-73.9895021,10003,Manhattan,
The Palm Tribeca,"206 West Street New York, NY  10282",Steakhouse,4.5,$50 and over,40.7165789,-74.0126991,10282,Manhattan,
Nickel & Diner,"1 Howard St New York, NY  10013",American,4.5,$31 to $50,40.718902,-73.999442,10013,Manhattan,
David Burke Kitchen,"23 Grand Street New York, NY  10013",American,4.3,$31 to $50,40.7228421,-74.0048693,10013,Manhattan,
Il Cortile Restaurant,"125 Mulberry Street New York, NY  10013",Italian,4.5,$31 to $50,40.7179745,-73.9982225,10013,Manhattan,
Felice 15 Gold Street,"15 Gold Street New York, NY  10038",Italian,4.5,$31 to $50,40.7078815,-74.0071288,10038,Manhattan,
Cipriani - Wall Street,"55 Wall Street New York, NY  10015",Italian,4.5,$31 to $50,40.7060799,-74.0093198,10015,Manhattan,
Rosa Mexicano - TriBeCa,"41 Murray Street New York, NY  10007",Mexican,4.0,$31 to $50,40.7141031,-74.0090569,10007,Manhattan,
North Square,"103 Waverly Place New York, NY  10011",American,4.5,$31 to $50,40.7324496,-73.9987276,10011,Manhattan,
Edi and The Wolf,"102 Avenue C New York, NY  10009",Austrian,4.3,$30 and under,40.7238208,-73.9788238,10009,Manhattan,
Gran Morsi,"22 Warren Street New York, NY  10007",Italian,4.5,$31 to $50,40.7143072,-74.0077715,10007,Manhattan,
Bistrot Leo,"60 Thompson Street New York, NY  10012",French,4.2,$31 to $50,40.7239616,-74.0031348,10012,Manhattan,
Reserve Cut at Setai,"40 Broad Street, 2nd Level New York, NY  10004",Kosher,4.6,$50 and over,40.7060275,-74.0117654,10004,Manhattan,
Rice & Gold,"50 Bowery New York, NY  10013",Asian,4.2,$31 to $50,40.7158073,-73.9965567,10013,Manhattan,
Thalassa,"179 Franklin Street New York, NY  10013",Seafood,4.6,$31 to $50,40.7191955,-74.0095619,10013,Manhattan,
Strip House Speakeasy,"11 East 12th Street New York, NY  10003",Steakhouse,4.7,$50 and over,40.7344807,-73.9934479,10003,Manhattan,
Greenwich Steakhouse,"62 Greenwich Ave New York, NY  10011",Steakhouse,4.3,$50 and over,40.7360835,-74.0005983,10011,Manhattan,
Schilling,"109 Washington Street New york, NY  10028",Austrian,4.5,$30 and under,40.7085801,-74.0139689,10028,Manhattan,
Morton's The Steakhouse - World Trade Center,"136 Washington New York, NY  10006",Steakhouse,4.7,$50 and over,40.7097089,-74.0139508,10006,Manhattan,
MarkJoseph Steakhouse,"261 Water Street New York, NY  10038",Steakhouse,4.7,$50 and over,40.7083559,-74.0014821,10038,Manhattan,
The Tuck Room- New York,"11 Fulton Street New York, NY  10038",Gastro Pub,4.0,$30 and under,40.7066783,-74.0031157,10038,Manhattan,
Talde,"369 7th Avenue Brooklyn, NY  11215",Asian,4.4,$30 and under,40.6654492,-73.9825668,11215,Brooklyn,
Bar Freud,"506 LaGuardia Place New York, NY  10012",Austrian,4.4,$31 to $50,40.7277403,-73.9995539,10012,Manhattan,
Yellow Magnolia Caf?,"Brooklyn Botanic Garden 990 Washington Ave Brooklyn, NY  11225",American,4.4,$30 and under,40.6694113,-73.9623736,11225,Brooklyn,
Benchmark Restaurant,"339A Second St. Brooklyn, NY  11215",Contemporary American,4.5,$31 to $50,40.6737664,-73.9831636,11215,Brooklyn,
Altesi Downtown,"200 Spring Street New York, NY  10012",Italian,4.5,$31 to $50,40.7250957,-74.0033108,10012,Manhattan,
Harvey @ The Williamsburg Hotel,"96 Wythe Ave Brooklyn, NY  11249",Contemporary American,4.0,$30 and under,40.7216012,-73.958897,11249,Brooklyn,
ATRIO Wine Bar & Restaurant,"102 North End Avenue New York, NY  10282",Contemporary American,4.6,$31 to $50,40.7150553,-74.015696,10282,Manhattan,
Bobby Van's Steakhouse - Broad Street,"25 Broad Street New York, NY  10004",Steakhouse,4.4,$31 to $50,40.70601,-74.0108846,10004,Manhattan,
Brasserie Seoul,"300 Schermerhorn St. Brooklyn, NY  11217",Contemporary French,4.1,$30 and under,40.6873592,-73.9824046,11217,Brooklyn,
Greenhouse Cafe,"7717 3rd Avenue Brooklyn, NY  11209-3001",Continental,4.5,$30 and under,40.6295393,-74.0283024,11209,Brooklyn,
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI","1100 South Ave. Staten Island, NY  10314",Italian,4.6,$31 to $50,40.6145769,-74.1772081,10314,Staten Island,
 Sushi Inoue,"381 Lenox Ave,  New York,  NY 10027",,1.0,,40.8106585,-73.9438433,10027,Manhattan,
 Dovetail,"103 W 77th St,  New York,  NY 10024",,1.0,,40.7809405,-73.9766202,10024,Manhattan,
 Cafe Boulud,"20 E 76th St,  New York,  NY 10021",,1.0,,40.7743902,-73.9639545,10021,Manhattan,
 Jean-Georges,"1 Central Park West,  New York,  NY 10023",,2.0,,40.7691474,-73.9815403,10023,Manhattan,
 Masa,"10 Columbus Cir,  New York,  NY 10019",,3.0,,40.7685685,-73.9824278,10019,Manhattan,
 Marea,"240 Central Park S,  New York,  NY 10019",,2.0,,40.7673343,-73.9811711,10019,Manhattan,
 Daniel,"60 E 65th St,  New York,  NY 10065",,2.0,,40.7667776,-73.9675711,10065,Manhattan,
 Torishin,"362 W 53rd St,  New York,  NY 10019",,1.0,,40.7649952,-73.9871758,10019,Manhattan,
 Le Bernardin,"155 W 51st St,  New York,  NY 10019",,3.0,,40.7613945,-73.981691,10019,Manhattan,
 The Modern,"9 W 53rd St,  New York,  NY 10019",,2.0,,40.7610807,-73.9770877,10019,Manhattan,
 Aquavit,"65 E 55th St,  New York,  NY 10022",,2.0,,40.7607818,-73.9721848,10022,Manhattan,
 Caviar Russe,"538 Madison Ave,  New York,  NY 10022",,1.0,,40.76074,-73.9737679,10022,Manhattan,
 Satsuki (Suzuki’s sushi bar),"114 W 47th St (discreetly located),  New York,  NY 10036",,1.0,,40.758125,-73.982138,10036,Manhattan,
 Chef's Table at Brooklyn Fare,"431 W 37th St,  New York,  NY 10018",,3.0,,40.7560775,-73.996449,10018,Manhattan,
 Aureole,"135 W 42nd St,  New York,  NY 10036",,1.0,,40.7555484,-73.9853184,10036,Manhattan,
 Gabriel Kreuther,"41 W 42nd St,  New York,  NY 10036",,1.0,,40.7541195,-73.98218,10036,Manhattan,
 Sushi Ginza Onodera,"461 5th Ave,  New York,  NY 10017",,2.0,,40.7522716,-73.9813705,10017,Manhattan,
 Sushi Amane,"245 E 44th St,  New York,  NY 10017",,1.0,,40.7516021,-73.9716905,10017,Manhattan,
 Sushi Yasuda,"204 E 43rd St,  New York,  NY 10017",,1.0,,40.7511256,-73.9734665,10017,Manhattan,
 Ai Fiori,"400 5th Ave #2,  New York,  NY 10018",,1.0,,40.7501051,-73.9838132,10018,Manhattan,
 Café China,"13 E 37th St,  New York,  NY 10016",,1.0,,40.7500083,-73.9821348,10016,Manhattan,
 Kajitsu,"125 E 39th St,  New York,  NY 10016",,1.0,,40.7498535,-73.9777199,10016,Manhattan,
 Tempura Matsui,"222 E 39th St,  New York,  NY 10016",,1.0,,40.7481499,-73.9748257,10016,Manhattan,
 Ushiwakamaru,"362 W 23rd St,  New York,  NY 10011",,1.0,,40.7461072,-74.0010394,10011,Manhattan,
 The Breslin,"16 W 29th St,  New York,  NY 10001",,1.0,,40.7458728,-73.9884442,10001,Manhattan,
 The NoMad Restaurant,"1170 Broadway,  New York,  NY 10001",,1.0,,40.7449246,-73.988596,10001,Manhattan,
 Del Posto,"85 10th Ave,  New York,  NY 10011",,1.0,,40.7434562,-74.0075595,10011,Manhattan,
 Casa Enrique,"5-48 49th Ave,  Long Island City,  NY 11101",,1.0,,40.7433617,-73.9542277,11101,Queens,
 Junoon,"27 W 24th St,  New York,  NY 10010",,1.0,,40.743201,-73.9908287,10010,Manhattan,
 La Sirena,"88 9th Ave,  New York,  NY 10011",,1.0,,40.7424874,-74.0040163,10011,Manhattan,
 Eleven Madison Park,"11 Madison Ave,  New York,  NY 10010",,3.0,,40.7415982,-73.9871904,10010,Manhattan,
 The Clocktower,"5 Madison Ave,  New York,  NY 10010",,1.0,,40.7413262,-73.9874695,10010,Manhattan,
 Cote Korean Steakhouse,"16 W 22nd St,  New York,  NY 10010",,1.0,,40.7410462,-73.9914203,10010,Manhattan,
 Rouge Tomate Chelsea,"126 W 18th St,  New York,  NY 10011",,1.0,,40.7401601,-73.9963011,10011,Manhattan,
 Gunter Seeger NY,"641 Hudson St,  New York,  NY 10014",,1.0,,40.7390267,-74.0058009,10014,Manhattan,
 ALDEA,"31 W 17th St,  New York,  NY 10011",,1.0,,40.7387897,-73.9937507,10011,Manhattan,
 Gramercy Tavern,"42 E 20th St,  New York,  NY 10003",,1.0,,40.7383894,-73.988414,10003,Manhattan,
 Casa Mono,"52 Irving Pl,  New York,  NY 10003",,1.0,,40.7359257,-73.9871655,10003,Manhattan,
 Wallsé,"344 W 11th St,  New York,  NY 10014",,1.0,,40.7354186,-74.0082138,10014,Manhattan,
 Gotham Bar and Grill,"12 E 12th St,  New York,  NY 10003",,1.0,,40.7340836,-73.9937563,10003,Manhattan,
 Nix,"72 University Pl,  New York,  NY 10003",,1.0,,40.7332675,-73.9937114,10003,Manhattan,
 Babbo,"110 Waverly Pl,  New York,  NY 10011",,1.0,,40.7322954,-73.9992637,10011,Manhattan,
 Blue Hill,"75 Washington Pl,  New York,  NY 10011",,1.0,,40.7320396,-73.9995703,10011,Manhattan,
 Kanoyama,"175 2nd Ave,  New York,  NY 10003",,1.0,,40.730686,-73.9864013,10003,Manhattan,
 Minetta Tavern,"113 Macdougal St,  New York,  NY 10012",,1.0,,40.7299655,-74.0006297,10012,Manhattan,
 Sushi Zo,"88 W 3rd St,  New York,  NY 10012",,1.0,,40.7297663,-73.9992377,10012,Manhattan,
 Carbone,"181 Thompson St,  New York,  NY 10012",,1.0,,40.7280028,-74.0002252,10012,Manhattan,
 ZZ's Clam Bar,"169 Thompson St,  New York,  NY 10012",,1.0,,40.7276892,-74.0004432,10012,Manhattan,
 Jewel Bako,"239 E 5th St,  New York,  NY 10003",,1.0,,40.7270458,-73.9893304,10003,Manhattan,
 Kyo Ya,"94 E 7th St,  New York,  NY 10009",,1.0,,40.7266255,-73.9853798,10009,Manhattan,
 Momofuku Ko,"8 Extra Pl,  New York,  NY 10003",,2.0,,40.7249483,-73.9913375,10003,Manhattan,
 Hirohisa,"73 Thompson St,  New York,  NY 10012",,1.0,,40.7245853,-74.0031325,10012,Manhattan,
 The Musket Room,"265 Elizabeth St,  New York,  NY 10012",,1.0,,40.7239493,-73.9938986,10012,Manhattan,
 Rebelle,"218 Bowery,  New York,  NY 10012",,1.0,,40.7163854,-73.9959866,10012,Manhattan,
 Uchu,"217 Eldridge St,  New York,  NY 10002",,1.0,,40.7217541,-73.9903257,10002,Manhattan,
 Uncle Boons,"7 Spring St,  New York,  NY 10012",,1.0,,40.7213443,-73.9943751,10012,Manhattan,
 Contra,"138 Orchard St,  New York,  NY 10002",,1.0,,40.7199688,-73.989175,10002,Manhattan,
 Bâtard,"239 W Broadway,  New York,  NY 10013",,1.0,,40.7195759,-74.0058025,10013,Manhattan,
 Jungsik,"2 Harrison St,  New York,  NY 10013",,2.0,,40.71879,-74.009476,10013,Manhattan,
 Delaware and Hudson,"135 N 5th St,  Brooklyn,  NY 11249",,1.0,,40.716997,-73.9591501,11249,Brooklyn,
 Atera,"77 Worth St,  New York,  NY 10013",,2.0,,40.716937,-74.0056985,10013,Manhattan,
 Aska,"47 S 5th St,  Brooklyn,  NY 11249",,2.0,,40.7124231,-73.9664901,11249,Brooklyn,
 L'Appart,"225 Liberty St,  New York,  NY 10281",,1.0,,40.712272,-74.0154361,10281,Manhattan,
 Meadowsweet,"149 Broadway,  Brooklyn,  NY 11211",,1.0,,40.7103472,-73.9631701,11211,Brooklyn,
 Peter Luger Steak House,"178 Broadway,  Brooklyn,  NY 11211",,1.0,,40.7098661,-73.9625564,11211,Brooklyn,
 Faro,"436 Jefferson St,  Brooklyn,  NY 11237",,1.0,,40.7074483,-73.9229012,11237,Brooklyn,
 Blanca,"261 Moore St,  Brooklyn,  NY 11206",,2.0,,40.7050062,-73.9335894,11206,Brooklyn,
 The River Café,"1 Water St,  Brooklyn,  NY 11201",,1.0,,40.7037562,-73.994822,11201,Brooklyn,
 La Vara,"268 Clinton St,  Brooklyn,  NY 11201",,1.0,,40.6877918,-73.9956984,11201,Brooklyn,
 The Finch,"212 Greene Ave,  Brooklyn,  NY 11238",,1.0,,40.6869332,-73.9628918,11238,Brooklyn,
 Per Se,"4th Floor  Time Warner Center  10 Columbus Cir,  New York,  NY 10023",,3.0,,40.712792,-74.004334,10023,Manhattan,
 Agern,"Grand Central Terminal  89 E 42nd St,  New York,  NY 10017",,1.0,,40.7528064,-73.9771792,10017,Manhattan,